Time,durationString,Distance,pace,calories,walkEnd,weight
2013-06-13,"1:43'31""",4.2076,"24'36"" / km",154,5790,50.0
2013-06-14,"6'54""",0.0379,"182'08"" / km",1,53,50.0
2013-06-20,"26'49""",0.9404,"28'31"" / km",34,1329,50.0
2013-06-21,"44'45""",1.3302,"33'38"" / km",49,1873,50.0
2013-06-23,"1:45'48""",5.5008,"19'14"" / km",204,7511,50.0
2013-06-24,"1:56'26""",4.1553,"28'01"" / km",153,6015,50.0
2013-06-25,"2:37'33""",6.8629,"22'57"" / km",251,9108,50.0
2013-06-26,"2:13'09""",6.1541,"21'38"" / km",226,8260,50.0
2013-06-27,"4:01'30""",0.7896,"305'51"" / km",32,1069,50.0
2013-06-28,"54'18""",0.8602,"63'08"" / km",34,1194,50.0
2013-07-02,"41'53""",1.8626,"22'29"" / km",69,2442,50.0
2013-07-03,"3:03'40""",4.8404,"37'57"" / km",180,6850,50.0
2013-07-04,"1:04'40""",0.8248,"78'25"" / km",30,1170,50.0
2013-07-05,"1:44'08""",0.7162,"145'24"" / km",27,1020,50.0
2013-07-16,"29'29""",0.3272,"90'07"" / km",12,446,50.0
2013-07-17,"4:25'35""",6.6909,"39'42"" / km",246,8823,50.0
2013-07-18,"2:07'53""",4.6924,"27'15"" / km",178,6317,50.0
2013-07-19,"3:38'11""",8.9964,"24'15"" / km",343,11957,50.0
2013-07-20,"1:12'30""",0.5206,"139'17"" / km",19,695,50.0
2013-07-21,"1:01'15""",0.4881,"125'31"" / km",18,672,50.0
2013-07-22,"5:04'24""",11.9119,"25'33"" / km",435,16109,50.0
2013-07-23,"2:59'22""",7.5433,"23'47"" / km",305,9417,50.0
2013-07-26,"5:33'55""",7.2079,"46'20"" / km",273,9377,50.0
2013-07-27,"6:00'09""",15.8587,"22'43"" / km",592,20745,50.0
2013-07-28,"2:40'39""",6.8346,"23'30"" / km",248,9147,50.0
2013-07-29,"3:42'06""",11.8584,"18'44"" / km",441,15282,50.0
2013-07-30,"2:15'05""",6.3199,"21'22"" / km",233,8227,50.0
2013-07-31,"4:06'41""",13.5943,"18'09"" / km",517,17352,50.0
2013-08-01,"13:48'23""",10.2164,"81'05"" / km",398,12789,50.0
2013-08-02,"7:30'54""",14.4796,"31'08"" / km",611,17181,50.0
2013-08-03,"10:12'37""",18.2149,"33'38"" / km",684,24488,50.0
2013-08-05,"1:38'38""",4.6691,"21'08"" / km",173,6276,50.0
2013-08-06,"4:13'32""",4.9500,"51'13"" / km",193,6291,50.0
